Index,hour 1,hour 2,hour 3,hour 4,hour 5,hour 6,hour 7,hour 8,hour 9,hour 10,hour 11,hour 12,hour 13,hour 14,hour 15,hour 16,hour 17,hour 18,hour 19,hour 20,hour 21,hour 22,hour 23,hour 24
34,3050,3000,2950,2930,2950,3000,3050,2950,2850,2750,2650,2600,2550,2530,2550,2650,2750,2850,2950,3050,3000,2950,2900,2850
35,2850,2800,2750,2730,2750,2800,2850,2750,2650,2550,2450,2400,2350,2330,2350,2450,2550,2650,2750,2850,2800,2750,2700,2650
36,2650,2600,2550,2530,2550,2600,2650,2550,2450,2350,2250,2200,2150,2130,2150,2250,2350,2450,2550,2650,2600,2550,2500,2450
37,2450,2400,2350,2330,2350,2400,2450,2350,2250,2150,2050,2000,1950,1930,1950,2050,2150,2250,2350,2450,2400,2350,2300,2250
38,2250,2200,2150,2130,2150,2200,2250,2150,2050,1950,1850,1800,1750,1730,1750,1850,1950,2050,2150,2250,2200,2150,2100,2050
39,2050,2000,1950,1930,1950,2000,2050,1950,1850,1750,1650,1600,1550,1530,1550,1650,1750,1850,1950,2050,2000,1950,1900,1850
40,1850,1800,1750,1730,1750,1800,1850,1750,1650,1550,1450,1400,1350,1330,1350,1450,1550,1650,1750,1850,1800,1750,1700,1650
41,1650,1600,1550,1530,1550,1600,1650,1550,1450,1350,1250,1200,1150,1130,1150,1250,1350,1450,1550,1650,1600,1550,1500,1450
42,1450,1400,1350,1330,1350,1400,1450,1350,1250,1150,1050,1000,950,930,950,1050,1150,1250,1350,1450,1400,1350,1300,1250
43,1250,1200,1150,1130,1150,1200,1250,1150,1050,950,850,800,750,730,750,850,950,1050,1150,1250,1200,1150,1100,1050
44,1050,1000,950,930,950,1000,1050,950,850,750,650,600,550,530,550,650,750,850,950,1050,1000,950,900,850
45,850,800,750,730,750,800,850,750,650,550,450,400,350,330,350,450,550,650,750,850,800,750,700,650
46,650,600,550,530,550,600,650,550,450,350,250,200,150,130,150,250,350,450,550,650,600,550,500,450
